,AUV
2002-04-30,70.62224586916601
2002-05-31,69.42457140203425
2002-06-30,70.25738744989079
2002-07-31,69.72454415672271
2002-08-31,68.03687157793422
2002-09-30,68.87235528735036
2002-10-31,69.34291653164905
2002-11-30,72.09920297491254
2002-12-31,71.97525232358204
2003-01-31,72.04277546814876
2003-02-28,74.12859956292324
2003-03-31,72.21906160022485
2003-04-30,69.6416181074076
2003-05-31,72.98410976306621
2003-06-30,73.27200066520297
2003-07-31,74.4969244770634
2003-08-31,75.60318786554929
2003-09-30,73.65466445788209
2003-10-31,76.61345781851605
2003-11-30,78.533354897299
2003-12-31,80.9210565989993
2004-01-31,83.64687034270352
2004-02-29,87.42938671114538
2004-03-31,86.2148220040177
2004-04-30,89.99000750466153
2004-05-31,84.6846512567976
2004-06-30,87.21460947061918
2004-07-31,87.97302426413619
2004-08-31,87.0500107171771
2004-09-30,88.86424598433483
2004-10-31,93.53855498957789
2004-11-30,92.97238752031724
2004-12-31,94.69090303527567
2005-01-31,94.39439347118902
2005-02-28,96.62529757964421
2005-03-31,101.94069204602103
2005-04-30,97.07815648308417
2005-05-31,89.72639421959207
2005-06-30,89.36447775657315
2005-07-31,92.15265621829334
2005-08-31,96.30965182649588
2005-09-30,94.71354845108178
2005-10-31,99.57769190581895
2005-11-30,105.32050844102132
2005-12-31,114.94290341127709
2006-01-31,121.67635124755363
2006-02-28,125.37452099665765
2006-03-31,124.27051777884648
2006-04-30,133.7114145534477
2006-05-31,145.07643146888904
2006-06-30,127.51496924485537
2006-07-31,128.70363874165082
2006-08-31,126.05032654745875
2006-09-30,127.26779197995572
2006-10-31,136.41892206887778
2006-11-30,139.10812542892498
2006-12-31,144.890055076742
2007-01-31,143.84252597578103
2007-02-28,146.1037477457589
2007-03-31,141.91510845693702
2007-04-30,144.5128518397409
2007-05-31,144.07332689704575
2007-06-30,138.58547131919693
2007-07-31,141.16428041135345
2007-08-31,130.56041437028335
2007-09-30,125.86527861014372
2007-10-31,128.44731148957624
2007-11-30,131.40823251944153
2007-12-31,126.32480325818416
2008-01-31,131.51437576084692
2008-02-29,148.6135968857913
2008-03-31,160.10974412679158
2008-04-30,157.1781836204935
2008-05-31,153.66179000152448
2008-06-30,157.92668348252883
2008-07-31,162.08943118839312
2008-08-31,146.60730967566863
2008-09-30,134.41489499128193
2008-10-31,112.8554822638562
2008-11-30,99.43449003319532
2008-12-31,82.50558129575845
2009-01-31,79.18020737161343
2009-02-28,74.86256015241212
